MajorCluster,ESCA,KIDNEY,MYE,OV-FTC,PAAD,RC,THCA,UCEC
C01_cDC2_CXCR4hi,93,0,0,0,0,1220,116,306
C02_cDC2_CD1A,109,0,0,0,0,415,179,378
C03_cDC2_IL1B,182,0,0,0,0,589,235,56
C04_cDC2_FCN1,74,0,0,0,0,226,48,226
C05_cDC2_ISG15,19,0,0,0,0,200,28,19
C06_cDC2_CXCL9,4,0,0,0,0,75,21,23
M01_Mast_KIT,539,1989,0,7,594,0,50,689
M02_pDC_LILRA4,92,54,0,11,0,0,282,236
M03_cDC1_CLEC9A,75,211,0,17,11,0,135,170
M04_cDC2_CD1C,640,4525,0,142,353,0,883,1159
M05_cDC3_LAMP3,144,227,0,15,52,0,130,166
M06_Mono_CD14,974,5352,0,258,409,0,221,1844
M07_Mono_CD16,384,7776,2083,160,55,0,285,350
M08_Macro_NLRP3,1560,0,151,0,0,0,889,1303
M08_Macro_SPP1,0,0,0,1353,356,0,0,0
M09_Macro_C1QC,0,0,1005,1925,1023,0,0,0
M10_Macro_C1QC,1101,0,0,0,0,0,443,0
M11_Macro_C1QC,0,1536,0,0,0,0,0,865
M12_Macro_LYVE1,0,1314,0,0,0,0,252,636
